date,category,amount,month_num,month
2024-01-02,Rent,5000,1,January
2024-01-05,Food,350,1,January
2024-01-08,Transport,120,1,January
2024-01-12,Entertainment,500,1,January
2024-01-15,Food,200,1,January
2024-01-18,Health,800,1,January
2024-01-22,Shopping,999,1,January
2024-01-25,Utilities,600,1,January
2024-01-28,Food,180,1,January
2024-01-30,Transport,150,1,January
2024-02-01,Rent,5000,2,February
2024-02-04,Food,400,2,February
2024-02-07,Entertainment,300,2,February
2024-02-10,Transport,130,2,February
2024-02-13,Food,250,2,February
2024-02-16,Health,750,2,February
2024-02-19,Shopping,1200,2,February
2024-02-22,Utilities,580,2,February
2024-02-25,Food,220,2,February
2024-02-28,Entertainment,450,2,February
2024-03-02,Rent,5000,3,March
2024-03-05,Food,370,3,March
2024-03-08,Transport,140,3,March
2024-03-12,Shopping,850,3,March
2024-03-15,Food,230,3,March
2024-03-18,Health,900,3,March
2024-03-22,Entertainment,1100,3,March
2024-03-25,Utilities,620,3,March
2024-03-28,Food,190,3,March
2024-03-30,Transport,160,3,March
2024-04-01,Rent,5000,4,April
2024-04-04,Food,420,4,April
2024-04-07,Health,110,4,April
2024-04-10,Transport,200,4,April
2024-04-13,Food,280,4,April
2024-04-16,Shopping,820,4,April
2024-04-19,Entertainment,950,4,April
2024-04-22,Utilities,590,4,April
2024-04-25,Food,210,4,April
2024-04-28,Health,780,4,April
2024-05-02,Rent,5000,5,May
2024-05-05,Food,390,5,May
2024-05-08,Transport,130,5,May
2024-05-12,Entertainment,600,5,May
2024-05-15,Food,260,5,May
2024-05-18,Health,870,5,May
2024-05-22,Shopping,1050,5,May
2024-05-25,Utilities,610,5,May
2024-05-28,Food,200,5,May
2024-05-30,Transport,170,5,May
2024-06-01,Rent,5000,6,June
2024-06-04,Food,450,6,June
2024-06-07,Shopping,1300,6,June
2024-06-10,Transport,180,6,June
2024-06-13,Food,300,6,June
2024-06-16,Health,910,6,June
2024-06-19,Entertainment,700,6,June
2024-06-22,Utilities,630,6,June
2024-06-25,Food,240,6,June
2024-06-28,Shopping,1100,6,June
2024-07-02,Rent,5000,7,July
2024-07-05,Food,410,7,July
2024-07-08,Transport,150,7,July
2024-07-12,Entertainment,550,7,July
2024-07-15,Food,270,7,July
2024-07-18,Health,840,7,July
2024-07-22,Shopping,1150,7,July
2024-07-25,Utilities,600,7,July
2024-07-28,Food,220,7,July
2024-07-30,Transport,140,7,July
2024-08-01,Rent,5000,8,August
2024-08-04,Food,380,8,August
2024-08-07,Health,860,8,August
2024-08-10,Shopping,1250,8,August
2024-08-13,Food,290,8,August
2024-08-16,Transport,160,8,August
2024-08-19,Entertainment,650,8,August
2024-08-22,Utilities,615,8,August
2024-08-25,Food,235,8,August
2024-08-28,Health,790,8,August
2024-09-02,Rent,5000,9,September
2024-09-05,Food,430,9,September
2024-09-08,Transport,125,9,September
2024-09-12,Entertainment,480,9,September
2024-09-15,Food,310,9,September
2024-09-18,Health,880,9,September
2024-09-22,Shopping,1080,9,September
2024-09-25,Utilities,625,9,September
2024-09-28,Food,215,9,September
2024-09-30,Transport,155,9,September
2024-10-01,Rent,5000,10,October
2024-10-04,Food,460,10,October
2024-10-07,Shopping,1400,10,October
2024-10-10,Transport,165,10,October
2024-10-13,Food,320,10,October
2024-10-16,Health,920,10,October
2024-10-19,Entertainment,720,10,October
2024-10-22,Utilities,640,10,October
2024-10-25,Food,250,10,October
2024-10-28,Shopping,1050,10,October
2024-11-02,Rent,5000,11,November
2024-11-05,Food,400,11,November
2024-11-08,Transport,135,11,November
2024-11-12,Entertainment,520,11,November
2024-11-15,Food,280,11,November
2024-11-18,Health,850,11,November
2024-11-22,Shopping,1000,11,November
2024-11-25,Utilities,610,11,November
2024-11-28,Food,225,11,November
2024-11-30,Transport,145,11,November
2024-12-01,Rent,5000,12,December
2024-12-04,Food,500,12,December
2024-12-07,Shopping,1500,12,December
2024-12-10,Entertainment,800,12,December
2024-12-13,Food,350,12,December
2024-12-16,Health,950,12,December
2024-12-19,Transport,200,12,December
2024-12-22,Utilities,700,12,December
2024-12-25,Food,300,12,December
2024-12-28,Shopping,1300,12,December
